m4.10xlarge, us-east-1b, download, 8, 0m1.408s
m4.10xlarge, us-east-1b, download, 16, 0m1.641s
m4.10xlarge, us-east-1b, download, 16, 0m1.541s
m4.10xlarge, us-east-1b, download, 16, 0m1.508s
m4.10xlarge, us-east-1b, download, 16, 0m1.450s
m4.10xlarge, us-east-1b, download, 16, 0m1.464s
m4.10xlarge, us-east-1b, download, 16, 0m1.459s
m4.10xlarge, us-east-1b, download, 32, 0m1.753s
m4.10xlarge, us-east-1b, download, 32, 0m1.646s
m4.10xlarge, us-east-1b, download, 32, 0m1.575s
m4.10xlarge, us-east-1b, download, 32, 0m1.611s
m4.10xlarge, us-east-1b, download, 32, 0m1.538s
m4.10xlarge, us-east-1b, download, 32, 0m1.564s
m4.10xlarge, us-east-1b, download, 64, 0m1.847s
m4.10xlarge, us-east-1b, download, 64, 0m1.731s
m4.10xlarge, us-east-1b, download, 64, 0m1.622s
m4.10xlarge, us-east-1b, download, 64, 0m2.035s
m4.10xlarge, us-east-1b, download, 64, 0m1.705s
m4.10xlarge, us-east-1b, download, 64, 0m1.812s
m4.10xlarge, us-east-1b, download, 128, 0m2.179s
m4.10xlarge, us-east-1b, download, 128, 0m1.951s
m4.10xlarge, us-east-1b, download, 128, 0m2.351s
m4.10xlarge, us-east-1b, download, 128, 0m1.880s
m4.10xlarge, us-east-1b, download, 128, 0m1.920s
m4.10xlarge, us-east-1b, download, 128, 0m1.981s
m4.10xlarge, us-east-1b, download, 256, 0m2.813s
m4.10xlarge, us-east-1b, download, 256, 0m2.470s
m4.10xlarge, us-east-1b, download, 256, 0m2.952s
m4.10xlarge, us-east-1b, download, 256, 0m2.448s
m4.10xlarge, us-east-1b, download, 256, 0m2.479s
m4.10xlarge, us-east-1b, download, 256, 0m2.500s
m4.10xlarge, us-east-1b, download, 512, 0m3.515s
m4.10xlarge, us-east-1b, download, 512, 0m3.640s
m4.10xlarge, us-east-1b, download, 512, 0m4.088s
m4.10xlarge, us-east-1b, download, 512, 0m3.545s
m4.10xlarge, us-east-1b, download, 512, 0m3.543s
m4.10xlarge, us-east-1b, download, 512, 0m3.772s
m4.10xlarge, us-east-1b, download, 1024, 0m5.634s
m4.10xlarge, us-east-1b, download, 1024, 0m5.746s
m4.10xlarge, us-east-1b, download, 1024, 0m5.896s
m4.10xlarge, us-east-1b, download, 1024, 0m6.284s
m4.10xlarge, us-east-1b, download, 1024, 0m6.023s
m4.10xlarge, us-east-1b, download, 1024, 0m5.811s
m4.10xlarge, us-east-1b, download, 2048, 0m9.844s
m4.10xlarge, us-east-1b, download, 2048, 0m9.548s
m4.10xlarge, us-east-1b, download, 2048, 0m10.222s
m4.10xlarge, us-east-1b, download, 2048, 0m10.480s
m4.10xlarge, us-east-1b, download, 2048, 0m10.534s
m4.10xlarge, us-east-1b, download, 2048, 0m11.211s
m4.10xlarge, us-east-1b, download, 4096, 0m45.239s
m4.10xlarge, us-east-1b, download, 4096, 0m45.223s
m4.10xlarge, us-east-1b, download, 4096, 0m44.946s
m4.10xlarge, us-east-1b, download, 4096, 0m44.893s
m4.10xlarge, us-east-1b, download, 4096, 0m45.694s
m4.10xlarge, us-east-1b, download, 4096, 0m44.649s
m4.10xlarge, us-east-1b, download, 8192, 1m20.736s
m4.10xlarge, us-east-1b, download, 8192, 1m20.751s
m4.10xlarge, us-east-1b, download, 8192, 1m20.640s
m4.10xlarge, us-east-1b, download, 8192, 1m21.227s
m4.10xlarge, us-east-1b, download, 8192, 1m21.011s
m4.10xlarge, us-east-1b, download, 8192, 1m21.644s
