m4.xlarge, us-east-1b, download, 16, 0m1.472s
m4.xlarge, us-east-1b, download, 16, 0m1.464s
m4.xlarge, us-east-1b, download, 16, 0m1.444s
m4.xlarge, us-east-1b, download, 16, 0m1.493s
m4.xlarge, us-east-1b, download, 32, 0m1.710s
m4.xlarge, us-east-1b, download, 32, 0m1.704s
m4.xlarge, us-east-1b, download, 32, 0m1.622s
m4.xlarge, us-east-1b, download, 32, 0m1.605s
m4.xlarge, us-east-1b, download, 32, 0m1.620s
m4.xlarge, us-east-1b, download, 32, 0m1.664s
m4.xlarge, us-east-1b, download, 64, 0m2.032s
m4.xlarge, us-east-1b, download, 64, 0m2.870s
m4.xlarge, us-east-1b, download, 64, 0m2.005s
m4.xlarge, us-east-1b, download, 64, 0m1.956s
m4.xlarge, us-east-1b, download, 64, 0m2.323s
m4.xlarge, us-east-1b, download, 64, 0m2.842s
m4.xlarge, us-east-1b, download, 128, 0m2.700s
m4.xlarge, us-east-1b, download, 128, 0m3.164s
m4.xlarge, us-east-1b, download, 128, 0m2.767s
m4.xlarge, us-east-1b, download, 128, 0m2.644s
m4.xlarge, us-east-1b, download, 128, 0m2.607s
m4.xlarge, us-east-1b, download, 128, 0m4.265s
m4.xlarge, us-east-1b, download, 256, 0m3.942s
m4.xlarge, us-east-1b, download, 256, 0m4.168s
m4.xlarge, us-east-1b, download, 256, 0m3.835s
m4.xlarge, us-east-1b, download, 256, 0m3.900s
m4.xlarge, us-east-1b, download, 256, 0m3.991s
m4.xlarge, us-east-1b, download, 256, 0m3.868s
m4.xlarge, us-east-1b, download, 512, 0m8.967s
m4.xlarge, us-east-1b, download, 512, 0m6.295s
m4.xlarge, us-east-1b, download, 512, 0m6.530s
m4.xlarge, us-east-1b, download, 512, 0m6.617s
m4.xlarge, us-east-1b, download, 512, 0m6.654s
m4.xlarge, us-east-1b, download, 512, 0m6.387s
m4.xlarge, us-east-1b, download, 1024, 0m12.946s
m4.xlarge, us-east-1b, download, 1024, 0m11.406s
m4.xlarge, us-east-1b, download, 1024, 0m11.491s
m4.xlarge, us-east-1b, download, 1024, 0m11.417s
m4.xlarge, us-east-1b, download, 1024, 0m11.421s
m4.xlarge, us-east-1b, download, 1024, 0m11.572s
m4.xlarge, us-east-1b, download, 2048, 0m23.389s
m4.xlarge, us-east-1b, download, 2048, 0m23.387s
m4.xlarge, us-east-1b, download, 2048, 0m23.544s
m4.xlarge, us-east-1b, download, 2048, 0m23.392s
m4.xlarge, us-east-1b, download, 2048, 0m23.442s
m4.xlarge, us-east-1b, download, 2048, 0m23.204s
m4.xlarge, us-east-1b, download, 4096, 0m47.216s
m4.xlarge, us-east-1b, download, 4096, 0m46.905s
m4.xlarge, us-east-1b, download, 4096, 0m46.879s
m4.xlarge, us-east-1b, download, 4096, 0m47.381s
m4.xlarge, us-east-1b, download, 4096, 0m47.038s
m4.xlarge, us-east-1b, download, 4096, 0m47.086s
m4.xlarge, us-east-1b, download, 8192, 1m34.420s
m4.xlarge, us-east-1b, download, 8192, 1m45.224s
m4.xlarge, us-east-1b, download, 8192, 1m33.073s
m4.xlarge, us-east-1b, download, 8192, 1m33.022s
m4.xlarge, us-east-1b, download, 8192, 1m44.160s
m4.xlarge, us-east-1b, download, 8192, 1m33.135s
