c4.8xlarge, us-west-2c, download, 8, 0m4.253s
c4.8xlarge, us-west-2c, download, 16, 0m4.932s
c4.8xlarge, us-west-2c, download, 16, 0m4.133s
c4.8xlarge, us-west-2c, download, 16, 0m4.904s
c4.8xlarge, us-west-2c, download, 16, 0m4.574s
c4.8xlarge, us-west-2c, download, 16, 0m4.247s
c4.8xlarge, us-west-2c, download, 16, 0m4.342s
c4.8xlarge, us-west-2c, download, 32, 0m5.225s
c4.8xlarge, us-west-2c, download, 32, 0m5.155s
c4.8xlarge, us-west-2c, download, 32, 0m5.255s
c4.8xlarge, us-west-2c, download, 32, 0m5.006s
c4.8xlarge, us-west-2c, download, 32, 0m4.818s
c4.8xlarge, us-west-2c, download, 32, 0m5.102s
c4.8xlarge, us-west-2c, download, 64, 0m5.022s
c4.8xlarge, us-west-2c, download, 64, 0m5.138s
c4.8xlarge, us-west-2c, download, 64, 0m4.590s
c4.8xlarge, us-west-2c, download, 64, 0m4.392s
c4.8xlarge, us-west-2c, download, 64, 0m4.137s
c4.8xlarge, us-west-2c, download, 64, 0m4.167s
c4.8xlarge, us-west-2c, download, 128, 0m7.107s
c4.8xlarge, us-west-2c, download, 128, 0m6.696s
c4.8xlarge, us-west-2c, download, 128, 0m6.789s
c4.8xlarge, us-west-2c, download, 128, 0m6.658s
c4.8xlarge, us-west-2c, download, 128, 0m6.441s
c4.8xlarge, us-west-2c, download, 128, 0m6.394s
c4.8xlarge, us-west-2c, download, 256, 0m10.561s
c4.8xlarge, us-west-2c, download, 256, 0m10.553s
c4.8xlarge, us-west-2c, download, 256, 0m10.146s
c4.8xlarge, us-west-2c, download, 256, 0m10.213s
c4.8xlarge, us-west-2c, download, 256, 0m9.898s
c4.8xlarge, us-west-2c, download, 256, 0m10.099s
c4.8xlarge, us-west-2c, download, 512, 0m16.224s
c4.8xlarge, us-west-2c, download, 512, 0m15.581s
c4.8xlarge, us-west-2c, download, 512, 0m13.892s
c4.8xlarge, us-west-2c, download, 512, 0m15.335s
c4.8xlarge, us-west-2c, download, 512, 0m14.672s
c4.8xlarge, us-west-2c, download, 512, 0m14.865s
c4.8xlarge, us-west-2c, download, 1024, 0m27.849s
c4.8xlarge, us-west-2c, download, 1024, 0m27.419s
c4.8xlarge, us-west-2c, download, 1024, 0m27.264s
c4.8xlarge, us-west-2c, download, 1024, 0m28.806s
c4.8xlarge, us-west-2c, download, 1024, 0m26.193s
c4.8xlarge, us-west-2c, download, 1024, 0m29.713s
c4.8xlarge, us-west-2c, download, 2048, 0m57.924s
c4.8xlarge, us-west-2c, download, 2048, 0m55.575s
c4.8xlarge, us-west-2c, download, 2048, 0m57.537s
c4.8xlarge, us-west-2c, download, 2048, 0m52.597s
c4.8xlarge, us-west-2c, download, 2048, 0m52.225s
c4.8xlarge, us-west-2c, download, 2048, 0m49.898s
c4.8xlarge, us-west-2c, download, 4096, 1m41.349s
c4.8xlarge, us-west-2c, download, 4096, 1m44.542s
c4.8xlarge, us-west-2c, download, 4096, 1m36.972s
c4.8xlarge, us-west-2c, download, 4096, 1m43.104s
c4.8xlarge, us-west-2c, download, 4096, 1m45.043s
c4.8xlarge, us-west-2c, download, 4096, 1m38.005s
c4.8xlarge, us-west-2c, download, 8192, 2m49.876s
c4.8xlarge, us-west-2c, download, 8192, 3m3.825s
c4.8xlarge, us-west-2c, download, 8192, 3m2.291s
c4.8xlarge, us-west-2c, download, 8192, 2m40.372s
c4.8xlarge, us-west-2c, download, 8192, 2m33.747s
c4.8xlarge, us-west-2c, download, 8192, 2m53.059s
