m4.10xlarge, us-west-2c, download, 8, 0m4.130s
m4.10xlarge, us-west-2c, download, 16, 0m4.466s
m4.10xlarge, us-west-2c, download, 16, 0m4.421s
m4.10xlarge, us-west-2c, download, 16, 0m5.736s
m4.10xlarge, us-west-2c, download, 16, 0m4.701s
m4.10xlarge, us-west-2c, download, 16, 0m4.749s
m4.10xlarge, us-west-2c, download, 16, 0m4.865s
m4.10xlarge, us-west-2c, download, 32, 0m5.480s
m4.10xlarge, us-west-2c, download, 32, 0m4.837s
m4.10xlarge, us-west-2c, download, 32, 0m4.851s
m4.10xlarge, us-west-2c, download, 32, 0m4.921s
m4.10xlarge, us-west-2c, download, 32, 0m5.663s
m4.10xlarge, us-west-2c, download, 32, 0m5.127s
m4.10xlarge, us-west-2c, download, 64, 0m4.588s
m4.10xlarge, us-west-2c, download, 64, 0m4.867s
m4.10xlarge, us-west-2c, download, 64, 0m4.383s
m4.10xlarge, us-west-2c, download, 64, 0m4.354s
m4.10xlarge, us-west-2c, download, 64, 0m4.777s
m4.10xlarge, us-west-2c, download, 64, 0m4.711s
m4.10xlarge, us-west-2c, download, 128, 0m7.142s
m4.10xlarge, us-west-2c, download, 128, 0m7.006s
m4.10xlarge, us-west-2c, download, 128, 0m7.120s
m4.10xlarge, us-west-2c, download, 128, 0m6.758s
m4.10xlarge, us-west-2c, download, 128, 0m6.990s
m4.10xlarge, us-west-2c, download, 128, 0m6.789s
m4.10xlarge, us-west-2c, download, 256, 0m11.057s
m4.10xlarge, us-west-2c, download, 256, 0m10.674s
m4.10xlarge, us-west-2c, download, 256, 0m10.465s
m4.10xlarge, us-west-2c, download, 256, 0m10.238s
m4.10xlarge, us-west-2c, download, 256, 0m9.982s
m4.10xlarge, us-west-2c, download, 256, 0m10.973s
m4.10xlarge, us-west-2c, download, 512, 0m16.182s
m4.10xlarge, us-west-2c, download, 512, 0m15.671s
m4.10xlarge, us-west-2c, download, 512, 0m15.537s
m4.10xlarge, us-west-2c, download, 512, 0m14.739s
m4.10xlarge, us-west-2c, download, 512, 0m15.265s
m4.10xlarge, us-west-2c, download, 512, 0m14.711s
m4.10xlarge, us-west-2c, download, 1024, 0m28.766s
m4.10xlarge, us-west-2c, download, 1024, 0m28.671s
m4.10xlarge, us-west-2c, download, 1024, 0m29.003s
m4.10xlarge, us-west-2c, download, 1024, 0m26.997s
m4.10xlarge, us-west-2c, download, 1024, 0m26.926s
m4.10xlarge, us-west-2c, download, 1024, 0m27.736s
m4.10xlarge, us-west-2c, download, 2048, 0m53.061s
m4.10xlarge, us-west-2c, download, 2048, 0m50.187s
m4.10xlarge, us-west-2c, download, 2048, 0m52.792s
m4.10xlarge, us-west-2c, download, 2048, 0m51.527s
m4.10xlarge, us-west-2c, download, 2048, 0m53.838s
m4.10xlarge, us-west-2c, download, 2048, 0m54.544s
m4.10xlarge, us-west-2c, download, 4096, 1m46.205s
m4.10xlarge, us-west-2c, download, 4096, 1m39.178s
m4.10xlarge, us-west-2c, download, 4096, 1m41.511s
m4.10xlarge, us-west-2c, download, 4096, 1m42.485s
m4.10xlarge, us-west-2c, download, 4096, 1m42.012s
m4.10xlarge, us-west-2c, download, 4096, 1m37.600s
m4.10xlarge, us-west-2c, download, 8192, 2m47.281s
m4.10xlarge, us-west-2c, download, 8192, 2m41.643s
m4.10xlarge, us-west-2c, download, 8192, 2m49.381s
m4.10xlarge, us-west-2c, download, 8192, 2m48.267s
m4.10xlarge, us-west-2c, download, 8192, 3m1.202s
m4.10xlarge, us-west-2c, download, 8192, 2m42.221s
