m4.large, us-west-2c, download, 64, 0m4.661s
m4.large, us-west-2c, download, 64, 0m4.969s
m4.large, us-west-2c, download, 64, 0m4.656s
m4.large, us-west-2c, download, 128, 0m6.402s
m4.large, us-west-2c, download, 128, 0m6.913s
m4.large, us-west-2c, download, 128, 0m6.620s
m4.large, us-west-2c, download, 128, 0m6.972s
m4.large, us-west-2c, download, 128, 0m6.269s
m4.large, us-west-2c, download, 128, 0m6.253s
m4.large, us-west-2c, download, 256, 0m11.254s
m4.large, us-west-2c, download, 256, 0m10.387s
m4.large, us-west-2c, download, 256, 0m10.214s
m4.large, us-west-2c, download, 256, 0m10.293s
m4.large, us-west-2c, download, 256, 0m10.664s
m4.large, us-west-2c, download, 256, 0m11.065s
m4.large, us-west-2c, download, 512, 0m16.970s
m4.large, us-west-2c, download, 512, 0m18.467s
m4.large, us-west-2c, download, 512, 0m15.043s
m4.large, us-west-2c, download, 512, 0m19.532s
m4.large, us-west-2c, download, 512, 0m15.598s
m4.large, us-west-2c, download, 512, 0m19.061s
m4.large, us-west-2c, download, 1024, 0m31.617s
m4.large, us-west-2c, download, 1024, 0m28.839s
m4.large, us-west-2c, download, 1024, 0m30.279s
m4.large, us-west-2c, download, 1024, 0m31.822s
m4.large, us-west-2c, download, 1024, 0m30.036s
m4.large, us-west-2c, download, 1024, 0m29.197s
m4.large, us-west-2c, download, 2048, 1m2.313s
m4.large, us-west-2c, download, 2048, 1m0.964s
m4.large, us-west-2c, download, 2048, 1m3.635s
m4.large, us-west-2c, download, 2048, 1m2.237s
m4.large, us-west-2c, download, 2048, 0m58.468s
m4.large, us-west-2c, download, 2048, 0m56.820s
m4.large, us-west-2c, download, 4096, 2m2.955s
m4.large, us-west-2c, download, 4096, 1m54.503s
m4.large, us-west-2c, download, 4096, 1m54.284s
m4.large, us-west-2c, download, 4096, 1m54.281s
m4.large, us-west-2c, download, 4096, 1m53.112s
m4.large, us-west-2c, download, 4096, 1m56.785s
m4.large, us-west-2c, download, 8192, 3m9.461s
m4.large, us-west-2c, download, 8192, 3m3.190s
m4.large, us-west-2c, download, 8192, 3m8.958s
m4.large, us-west-2c, download, 8192, 3m6.745s
m4.large, us-west-2c, download, 8192, 3m13.434s
m4.large, us-west-2c, download, 8192, 3m8.107s
