m4.xlarge, us-west-2c, download, 16, 0m4.472s
m4.xlarge, us-west-2c, download, 16, 0m4.458s
m4.xlarge, us-west-2c, download, 16, 0m4.361s
m4.xlarge, us-west-2c, download, 16, 0m3.828s
m4.xlarge, us-west-2c, download, 32, 0m6.090s
m4.xlarge, us-west-2c, download, 32, 0m4.205s
m4.xlarge, us-west-2c, download, 32, 0m5.250s
m4.xlarge, us-west-2c, download, 32, 0m5.645s
m4.xlarge, us-west-2c, download, 32, 0m4.528s
m4.xlarge, us-west-2c, download, 32, 0m5.040s
m4.xlarge, us-west-2c, download, 64, 0m5.491s
m4.xlarge, us-west-2c, download, 64, 0m4.387s
m4.xlarge, us-west-2c, download, 64, 0m4.095s
m4.xlarge, us-west-2c, download, 64, 0m5.735s
m4.xlarge, us-west-2c, download, 64, 0m4.543s
m4.xlarge, us-west-2c, download, 64, 0m4.383s
m4.xlarge, us-west-2c, download, 128, 0m7.063s
m4.xlarge, us-west-2c, download, 128, 0m6.377s
m4.xlarge, us-west-2c, download, 128, 0m6.491s
m4.xlarge, us-west-2c, download, 128, 0m6.041s
m4.xlarge, us-west-2c, download, 128, 0m6.072s
m4.xlarge, us-west-2c, download, 128, 0m6.613s
m4.xlarge, us-west-2c, download, 256, 0m10.719s
m4.xlarge, us-west-2c, download, 256, 0m9.671s
m4.xlarge, us-west-2c, download, 256, 0m9.788s
m4.xlarge, us-west-2c, download, 256, 0m9.822s
m4.xlarge, us-west-2c, download, 256, 0m10.022s
m4.xlarge, us-west-2c, download, 256, 0m9.266s
m4.xlarge, us-west-2c, download, 512, 0m15.836s
m4.xlarge, us-west-2c, download, 512, 0m14.473s
m4.xlarge, us-west-2c, download, 512, 0m14.955s
m4.xlarge, us-west-2c, download, 512, 0m14.847s
m4.xlarge, us-west-2c, download, 512, 0m15.170s
m4.xlarge, us-west-2c, download, 512, 0m15.121s
m4.xlarge, us-west-2c, download, 1024, 0m28.593s
m4.xlarge, us-west-2c, download, 1024, 0m27.565s
m4.xlarge, us-west-2c, download, 1024, 0m26.843s
m4.xlarge, us-west-2c, download, 1024, 0m26.652s
m4.xlarge, us-west-2c, download, 1024, 0m26.208s
m4.xlarge, us-west-2c, download, 1024, 0m27.260s
m4.xlarge, us-west-2c, download, 2048, 0m53.546s
m4.xlarge, us-west-2c, download, 2048, 0m53.174s
m4.xlarge, us-west-2c, download, 2048, 0m51.133s
m4.xlarge, us-west-2c, download, 2048, 0m51.179s
m4.xlarge, us-west-2c, download, 2048, 0m52.681s
m4.xlarge, us-west-2c, download, 2048, 0m52.293s
m4.xlarge, us-west-2c, download, 4096, 1m45.090s
m4.xlarge, us-west-2c, download, 4096, 1m33.234s
m4.xlarge, us-west-2c, download, 4096, 1m44.961s
m4.xlarge, us-west-2c, download, 4096, 1m44.881s
m4.xlarge, us-west-2c, download, 4096, 1m44.242s
m4.xlarge, us-west-2c, download, 4096, 1m43.172s
m4.xlarge, us-west-2c, download, 8192, 2m55.643s
m4.xlarge, us-west-2c, download, 8192, 2m48.081s
m4.xlarge, us-west-2c, download, 8192, 2m47.548s
m4.xlarge, us-west-2c, download, 8192, 2m44.555s
m4.xlarge, us-west-2c, download, 8192, 2m41.458s
m4.xlarge, us-west-2c, download, 8192, 2m54.953s
