c4.8xlarge, us-east-1b, download, 8, 0m1.380s
c4.8xlarge, us-east-1b, download, 16, 0m1.578s
c4.8xlarge, us-east-1b, download, 16, 0m1.582s
c4.8xlarge, us-east-1b, download, 16, 0m1.505s
c4.8xlarge, us-east-1b, download, 16, 0m1.440s
c4.8xlarge, us-east-1b, download, 16, 0m1.654s
c4.8xlarge, us-east-1b, download, 16, 0m1.437s
c4.8xlarge, us-east-1b, download, 32, 0m1.599s
c4.8xlarge, us-east-1b, download, 32, 0m1.507s
c4.8xlarge, us-east-1b, download, 32, 0m1.533s
c4.8xlarge, us-east-1b, download, 32, 0m1.634s
c4.8xlarge, us-east-1b, download, 32, 0m1.528s
c4.8xlarge, us-east-1b, download, 32, 0m1.505s
c4.8xlarge, us-east-1b, download, 64, 0m1.728s
c4.8xlarge, us-east-1b, download, 64, 0m1.930s
c4.8xlarge, us-east-1b, download, 64, 0m1.704s
c4.8xlarge, us-east-1b, download, 64, 0m1.592s
c4.8xlarge, us-east-1b, download, 64, 0m1.619s
c4.8xlarge, us-east-1b, download, 64, 0m1.627s
c4.8xlarge, us-east-1b, download, 128, 0m1.926s
c4.8xlarge, us-east-1b, download, 128, 0m1.945s
c4.8xlarge, us-east-1b, download, 128, 0m1.895s
c4.8xlarge, us-east-1b, download, 128, 0m2.449s
c4.8xlarge, us-east-1b, download, 128, 0m1.889s
c4.8xlarge, us-east-1b, download, 128, 0m1.881s
c4.8xlarge, us-east-1b, download, 256, 0m2.611s
c4.8xlarge, us-east-1b, download, 256, 0m2.851s
c4.8xlarge, us-east-1b, download, 256, 0m2.483s
c4.8xlarge, us-east-1b, download, 256, 0m2.454s
c4.8xlarge, us-east-1b, download, 256, 0m2.526s
c4.8xlarge, us-east-1b, download, 256, 0m2.476s
c4.8xlarge, us-east-1b, download, 512, 0m3.442s
c4.8xlarge, us-east-1b, download, 512, 0m3.509s
c4.8xlarge, us-east-1b, download, 512, 0m3.756s
c4.8xlarge, us-east-1b, download, 512, 0m3.762s
c4.8xlarge, us-east-1b, download, 512, 0m3.502s
c4.8xlarge, us-east-1b, download, 512, 0m3.636s
c4.8xlarge, us-east-1b, download, 1024, 0m5.798s
