m4.large, ap-northeast-1c, download, 16, 0m7.007s
m4.large, ap-northeast-1c, download, 16, 0m7.036s
m4.large, ap-northeast-1c, download, 16, 0m7.023s
m4.large, ap-northeast-1c, download, 16, 0m8.000s
m4.large, ap-northeast-1c, download, 32, 0m8.067s
m4.large, ap-northeast-1c, download, 32, 0m7.925s
m4.large, ap-northeast-1c, download, 32, 0m7.689s
m4.large, ap-northeast-1c, download, 32, 0m7.665s
m4.large, ap-northeast-1c, download, 32, 0m7.715s
m4.large, ap-northeast-1c, download, 32, 0m8.423s
m4.large, ap-northeast-1c, download, 64, 0m12.785s
m4.large, ap-northeast-1c, download, 64, 0m7.758s
m4.large, ap-northeast-1c, download, 64, 0m7.779s
m4.large, ap-northeast-1c, download, 64, 0m7.977s
m4.large, ap-northeast-1c, download, 64, 0m7.962s
m4.large, ap-northeast-1c, download, 64, 0m7.830s
m4.large, ap-northeast-1c, download, 128, 0m10.353s
m4.large, ap-northeast-1c, download, 128, 0m10.221s
m4.large, ap-northeast-1c, download, 128, 0m10.789s
m4.large, ap-northeast-1c, download, 128, 0m10.633s
m4.large, ap-northeast-1c, download, 128, 0m11.500s
m4.large, ap-northeast-1c, download, 128, 0m10.274s
m4.large, ap-northeast-1c, download, 256, 0m16.842s
m4.large, ap-northeast-1c, download, 256, 0m16.457s
m4.large, ap-northeast-1c, download, 256, 0m16.606s
m4.large, ap-northeast-1c, download, 256, 0m17.597s
m4.large, ap-northeast-1c, download, 256, 0m16.584s
m4.large, ap-northeast-1c, download, 256, 0m16.668s
m4.large, ap-northeast-1c, download, 512, 0m27.088s
m4.large, ap-northeast-1c, download, 512, 0m27.569s
m4.large, ap-northeast-1c, download, 512, 0m26.220s
m4.large, ap-northeast-1c, download, 512, 0m26.351s
m4.large, ap-northeast-1c, download, 512, 0m26.710s
m4.large, ap-northeast-1c, download, 512, 0m27.562s
m4.large, ap-northeast-1c, download, 1024, 0m48.459s
m4.large, ap-northeast-1c, download, 1024, 0m49.334s
m4.large, ap-northeast-1c, download, 1024, 0m48.540s
m4.large, ap-northeast-1c, download, 1024, 0m50.036s
m4.large, ap-northeast-1c, download, 1024, 0m51.188s
m4.large, ap-northeast-1c, download, 1024, 0m49.921s
m4.large, ap-northeast-1c, download, 2048, 1m36.618s
m4.large, ap-northeast-1c, download, 2048, 1m38.335s
m4.large, ap-northeast-1c, download, 2048, 1m38.694s
m4.large, ap-northeast-1c, download, 2048, 1m34.503s
m4.large, ap-northeast-1c, download, 2048, 1m35.021s
m4.large, ap-northeast-1c, download, 2048, 1m33.316s
m4.large, ap-northeast-1c, download, 4096, 3m6.555s
m4.large, ap-northeast-1c, download, 4096, 2m58.188s
m4.large, ap-northeast-1c, download, 4096, 3m0.101s
m4.large, ap-northeast-1c, download, 4096, 3m0.741s
m4.large, ap-northeast-1c, download, 4096, 3m0.710s
m4.large, ap-northeast-1c, download, 4096, 2m59.000s
m4.large, ap-northeast-1c, download, 8192, 4m51.749s
m4.large, ap-northeast-1c, download, 8192, 4m53.500s
m4.large, ap-northeast-1c, download, 8192, 4m51.284s
m4.large, ap-northeast-1c, download, 8192, 5m0.159s
m4.large, ap-northeast-1c, download, 8192, 4m57.517s
m4.large, ap-northeast-1c, download, 8192, 5m1.784s
