m4.large, us-east-1b, download, 64, 0m2.550s
m4.large, us-east-1b, download, 64, 0m2.583s
m4.large, us-east-1b, download, 64, 0m2.485s
m4.large, us-east-1b, download, 128, 0m4.605s
m4.large, us-east-1b, download, 128, 0m3.483s
m4.large, us-east-1b, download, 128, 0m3.539s
m4.large, us-east-1b, download, 128, 0m4.028s
m4.large, us-east-1b, download, 128, 0m3.501s
m4.large, us-east-1b, download, 128, 0m5.722s
m4.large, us-east-1b, download, 256, 0m5.194s
m4.large, us-east-1b, download, 256, 0m5.153s
m4.large, us-east-1b, download, 256, 0m5.152s
m4.large, us-east-1b, download, 256, 0m5.913s
m4.large, us-east-1b, download, 256, 0m5.495s
m4.large, us-east-1b, download, 256, 0m5.180s
m4.large, us-east-1b, download, 512, 0m8.949s
m4.large, us-east-1b, download, 512, 0m9.817s
m4.large, us-east-1b, download, 512, 0m9.762s
m4.large, us-east-1b, download, 512, 0m9.899s
m4.large, us-east-1b, download, 512, 0m9.903s
m4.large, us-east-1b, download, 512, 0m9.896s
m4.large, us-east-1b, download, 1024, 0m19.898s
m4.large, us-east-1b, download, 1024, 0m19.135s
m4.large, us-east-1b, download, 1024, 0m19.540s
m4.large, us-east-1b, download, 1024, 0m19.118s
m4.large, us-east-1b, download, 1024, 0m19.146s
m4.large, us-east-1b, download, 1024, 0m19.532s
m4.large, us-east-1b, download, 2048, 0m39.091s
m4.large, us-east-1b, download, 2048, 0m39.270s
m4.large, us-east-1b, download, 2048, 0m39.456s
m4.large, us-east-1b, download, 2048, 0m39.484s
m4.large, us-east-1b, download, 2048, 0m39.261s
m4.large, us-east-1b, download, 2048, 0m39.341s
m4.large, us-east-1b, download, 4096, 1m19.558s
m4.large, us-east-1b, download, 4096, 1m18.959s
m4.large, us-east-1b, download, 4096, 1m18.623s
m4.large, us-east-1b, download, 4096, 1m18.667s
m4.large, us-east-1b, download, 4096, 1m18.682s
m4.large, us-east-1b, download, 4096, 1m18.841s
m4.large, us-east-1b, download, 8192, 2m28.430s
m4.large, us-east-1b, download, 8192, 2m27.410s
m4.large, us-east-1b, download, 8192, 2m26.461s
m4.large, us-east-1b, download, 8192, 2m28.466s
m4.large, us-east-1b, download, 8192, 2m26.374s
m4.large, us-east-1b, download, 8192, 2m29.169s
