m4.large, eu-central-1a, download, 32, 0m5.612s
m4.large, eu-central-1a, download, 64, 0m5.065s
m4.large, eu-central-1a, download, 64, 0m5.742s
m4.large, eu-central-1a, download, 64, 0m4.632s
m4.large, eu-central-1a, download, 64, 0m5.452s
m4.large, eu-central-1a, download, 64, 0m5.557s
m4.large, eu-central-1a, download, 64, 0m4.714s
m4.large, eu-central-1a, download, 128, 0m6.488s
m4.large, eu-central-1a, download, 128, 0m6.609s
m4.large, eu-central-1a, download, 128, 0m6.553s
m4.large, eu-central-1a, download, 128, 0m6.792s
m4.large, eu-central-1a, download, 128, 0m6.646s
m4.large, eu-central-1a, download, 128, 0m6.560s
m4.large, eu-central-1a, download, 256, 0m10.830s
m4.large, eu-central-1a, download, 256, 0m10.348s
m4.large, eu-central-1a, download, 256, 0m10.583s
m4.large, eu-central-1a, download, 256, 0m10.802s
m4.large, eu-central-1a, download, 256, 0m12.024s
m4.large, eu-central-1a, download, 256, 0m11.181s
m4.large, eu-central-1a, download, 512, 0m17.441s
m4.large, eu-central-1a, download, 512, 0m17.708s
m4.large, eu-central-1a, download, 512, 0m16.780s
m4.large, eu-central-1a, download, 512, 0m16.953s
m4.large, eu-central-1a, download, 512, 0m16.554s
m4.large, eu-central-1a, download, 512, 0m19.641s
m4.large, eu-central-1a, download, 1024, 0m32.831s
m4.large, eu-central-1a, download, 1024, 0m31.142s
m4.large, eu-central-1a, download, 1024, 0m30.465s
m4.large, eu-central-1a, download, 1024, 0m29.784s
m4.large, eu-central-1a, download, 1024, 0m32.084s
m4.large, eu-central-1a, download, 1024, 0m29.378s
m4.large, eu-central-1a, download, 2048, 0m57.939s
m4.large, eu-central-1a, download, 2048, 0m58.297s
m4.large, eu-central-1a, download, 2048, 0m56.792s
m4.large, eu-central-1a, download, 2048, 0m56.806s
m4.large, eu-central-1a, download, 2048, 1m0.900s
m4.large, eu-central-1a, download, 2048, 0m58.602s
m4.large, eu-central-1a, download, 4096, 1m55.158s
m4.large, eu-central-1a, download, 4096, 1m54.268s
m4.large, eu-central-1a, download, 4096, 1m56.167s
m4.large, eu-central-1a, download, 4096, 1m52.482s
m4.large, eu-central-1a, download, 4096, 1m58.610s
m4.large, eu-central-1a, download, 4096, 1m59.064s
m4.large, eu-central-1a, download, 8192, 3m6.972s
m4.large, eu-central-1a, download, 8192, 3m5.736s
m4.large, eu-central-1a, download, 8192, 3m3.420s
m4.large, eu-central-1a, download, 8192, 3m9.442s
m4.large, eu-central-1a, download, 8192, 3m4.035s
m4.large, eu-central-1a, download, 8192, 3m8.545s
