m4.large, us-east-1b, download, 64, 0m2.510s
m4.large, us-east-1b, download, 64, 0m4.019s
m4.large, us-east-1b, download, 64, 0m2.503s
m4.large, us-east-1b, download, 128, 0m3.328s
m4.large, us-east-1b, download, 128, 0m3.255s
m4.large, us-east-1b, download, 128, 0m3.274s
m4.large, us-east-1b, download, 128, 0m3.256s
m4.large, us-east-1b, download, 128, 0m3.290s
m4.large, us-east-1b, download, 128, 0m3.420s
m4.large, us-east-1b, download, 256, 0m5.512s
m4.large, us-east-1b, download, 256, 0m5.183s
m4.large, us-east-1b, download, 256, 0m5.145s
m4.large, us-east-1b, download, 256, 0m5.147s
m4.large, us-east-1b, download, 256, 0m5.153s
m4.large, us-east-1b, download, 256, 0m5.536s
m4.large, us-east-1b, download, 512, 0m24.550s
m4.large, us-east-1b, download, 512, 0m8.944s
m4.large, us-east-1b, download, 512, 0m9.679s
m4.large, us-east-1b, download, 512, 0m10.378s
m4.large, us-east-1b, download, 512, 0m9.426s
m4.large, us-east-1b, download, 512, 0m9.903s
m4.large, us-east-1b, download, 1024, 0m19.898s
m4.large, us-east-1b, download, 1024, 0m19.527s
m4.large, us-east-1b, download, 1024, 0m19.122s
m4.large, us-east-1b, download, 1024, 0m19.596s
m4.large, us-east-1b, download, 1024, 0m19.107s
m4.large, us-east-1b, download, 1024, 0m19.132s
m4.large, us-east-1b, download, 2048, 0m39.585s
m4.large, us-east-1b, download, 2048, 0m39.226s
m4.large, us-east-1b, download, 2048, 0m39.229s
m4.large, us-east-1b, download, 2048, 0m39.241s
m4.large, us-east-1b, download, 2048, 0m39.336s
m4.large, us-east-1b, download, 2048, 1m25.778s
m4.large, us-east-1b, download, 4096, 1m18.659s
m4.large, us-east-1b, download, 4096, 1m18.808s
m4.large, us-east-1b, download, 4096, 1m19.120s
m4.large, us-east-1b, download, 4096, 1m18.974s
m4.large, us-east-1b, download, 4096, 1m19.102s
m4.large, us-east-1b, download, 4096, 1m18.729s
m4.large, us-east-1b, download, 8192, 3m44.134s
m4.large, us-east-1b, download, 8192, 2m29.753s
m4.large, us-east-1b, download, 8192, 2m28.829s
m4.large, us-east-1b, download, 8192, 2m23.863s
m4.large, us-east-1b, download, 8192, 2m23.789s
m4.large, us-east-1b, download, 8192, 2m23.838s
