c4.xlarge, eu-central-1a, download, 8, 0m4.144s
c4.xlarge, eu-central-1a, download, 8, 0m4.141s
c4.xlarge, eu-central-1a, download, 16, 0m4.577s
c4.xlarge, eu-central-1a, download, 16, 0m4.488s
c4.xlarge, eu-central-1a, download, 16, 0m4.621s
c4.xlarge, eu-central-1a, download, 16, 0m4.630s
c4.xlarge, eu-central-1a, download, 16, 0m4.447s
c4.xlarge, eu-central-1a, download, 16, 0m4.782s
c4.xlarge, eu-central-1a, download, 32, 0m5.211s
c4.xlarge, eu-central-1a, download, 32, 0m5.224s
c4.xlarge, eu-central-1a, download, 32, 0m5.085s
c4.xlarge, eu-central-1a, download, 32, 0m5.145s
c4.xlarge, eu-central-1a, download, 32, 1m37.950s
c4.xlarge, eu-central-1a, download, 32, 0m5.317s
c4.xlarge, eu-central-1a, download, 64, 0m4.544s
c4.xlarge, eu-central-1a, download, 64, 0m4.503s
c4.xlarge, eu-central-1a, download, 64, 0m4.657s
c4.xlarge, eu-central-1a, download, 64, 0m5.681s
c4.xlarge, eu-central-1a, download, 64, 0m5.752s
c4.xlarge, eu-central-1a, download, 64, 0m5.002s
c4.xlarge, eu-central-1a, download, 128, 0m6.404s
c4.xlarge, eu-central-1a, download, 128, 0m6.657s
c4.xlarge, eu-central-1a, download, 128, 0m7.680s
c4.xlarge, eu-central-1a, download, 128, 0m6.507s
c4.xlarge, eu-central-1a, download, 128, 0m6.518s
c4.xlarge, eu-central-1a, download, 128, 0m6.542s
c4.xlarge, eu-central-1a, download, 256, 0m11.314s
c4.xlarge, eu-central-1a, download, 256, 0m25.043s
c4.xlarge, eu-central-1a, download, 256, 0m11.142s
c4.xlarge, eu-central-1a, download, 256, 0m10.623s
c4.xlarge, eu-central-1a, download, 256, 0m10.324s
c4.xlarge, eu-central-1a, download, 256, 0m10.118s
c4.xlarge, eu-central-1a, download, 512, 0m16.776s
c4.xlarge, eu-central-1a, download, 512, 0m16.494s
c4.xlarge, eu-central-1a, download, 512, 0m16.578s
c4.xlarge, eu-central-1a, download, 512, 0m16.233s
c4.xlarge, eu-central-1a, download, 512, 0m16.646s
c4.xlarge, eu-central-1a, download, 512, 0m16.908s
c4.xlarge, eu-central-1a, download, 1024, 0m29.969s
c4.xlarge, eu-central-1a, download, 1024, 0m29.162s
c4.xlarge, eu-central-1a, download, 1024, 0m28.973s
c4.xlarge, eu-central-1a, download, 1024, 0m28.806s
c4.xlarge, eu-central-1a, download, 1024, 0m28.631s
c4.xlarge, eu-central-1a, download, 1024, 0m29.730s
c4.xlarge, eu-central-1a, download, 2048, 0m56.925s
c4.xlarge, eu-central-1a, download, 2048, 0m56.312s
c4.xlarge, eu-central-1a, download, 2048, 0m56.033s
c4.xlarge, eu-central-1a, download, 2048, 0m55.856s
c4.xlarge, eu-central-1a, download, 2048, 0m55.576s
c4.xlarge, eu-central-1a, download, 2048, 0m58.054s
c4.xlarge, eu-central-1a, download, 4096, 1m52.875s
c4.xlarge, eu-central-1a, download, 4096, 1m51.108s
c4.xlarge, eu-central-1a, download, 4096, 1m47.758s
c4.xlarge, eu-central-1a, download, 4096, 1m48.019s
c4.xlarge, eu-central-1a, download, 4096, 1m48.190s
c4.xlarge, eu-central-1a, download, 4096, 1m48.006s
c4.xlarge, eu-central-1a, download, 8192, 3m2.997s
c4.xlarge, eu-central-1a, download, 8192, 2m53.450s
c4.xlarge, eu-central-1a, download, 8192, 2m55.808s
c4.xlarge, eu-central-1a, download, 8192, 3m1.701s
c4.xlarge, eu-central-1a, download, 8192, 2m59.594s
c4.xlarge, eu-central-1a, download, 8192, 2m53.633s
