c4.xlarge, ap-northeast-1c, download, 4, 0m4.751s
c4.xlarge, ap-northeast-1c, download, 4, 0m4.247s
c4.xlarge, ap-northeast-1c, download, 4, 0m4.040s
c4.xlarge, ap-northeast-1c, download, 8, 0m6.205s
c4.xlarge, ap-northeast-1c, download, 8, 0m6.510s
c4.xlarge, ap-northeast-1c, download, 8, 0m6.027s
c4.xlarge, ap-northeast-1c, download, 8, 0m5.656s
c4.xlarge, ap-northeast-1c, download, 8, 0m5.993s
c4.xlarge, ap-northeast-1c, download, 8, 0m5.661s
c4.xlarge, ap-northeast-1c, download, 16, 0m7.143s
c4.xlarge, ap-northeast-1c, download, 16, 0m6.981s
c4.xlarge, ap-northeast-1c, download, 16, 0m7.639s
c4.xlarge, ap-northeast-1c, download, 16, 0m6.869s
c4.xlarge, ap-northeast-1c, download, 16, 0m8.576s
c4.xlarge, ap-northeast-1c, download, 16, 0m7.006s
c4.xlarge, ap-northeast-1c, download, 32, 0m7.850s
c4.xlarge, ap-northeast-1c, download, 32, 0m8.114s
c4.xlarge, ap-northeast-1c, download, 32, 0m7.841s
c4.xlarge, ap-northeast-1c, download, 32, 0m8.054s
c4.xlarge, ap-northeast-1c, download, 32, 0m7.304s
c4.xlarge, ap-northeast-1c, download, 32, 0m8.248s
c4.xlarge, ap-northeast-1c, download, 64, 0m8.586s
c4.xlarge, ap-northeast-1c, download, 64, 0m6.778s
c4.xlarge, ap-northeast-1c, download, 64, 0m6.512s
c4.xlarge, ap-northeast-1c, download, 64, 0m6.541s
c4.xlarge, ap-northeast-1c, download, 64, 0m7.120s
c4.xlarge, ap-northeast-1c, download, 64, 0m6.512s
c4.xlarge, ap-northeast-1c, download, 128, 0m9.785s
c4.xlarge, ap-northeast-1c, download, 128, 0m10.068s
c4.xlarge, ap-northeast-1c, download, 128, 0m10.208s
c4.xlarge, ap-northeast-1c, download, 128, 0m10.091s
c4.xlarge, ap-northeast-1c, download, 128, 0m10.263s
c4.xlarge, ap-northeast-1c, download, 128, 0m10.042s
c4.xlarge, ap-northeast-1c, download, 256, 0m16.594s
c4.xlarge, ap-northeast-1c, download, 256, 0m17.409s
c4.xlarge, ap-northeast-1c, download, 256, 0m19.636s
c4.xlarge, ap-northeast-1c, download, 256, 0m16.533s
c4.xlarge, ap-northeast-1c, download, 256, 0m16.327s
c4.xlarge, ap-northeast-1c, download, 256, 0m16.585s
c4.xlarge, ap-northeast-1c, download, 512, 0m27.182s
c4.xlarge, ap-northeast-1c, download, 512, 0m26.419s
c4.xlarge, ap-northeast-1c, download, 512, 0m26.068s
