c4.xlarge, us-west-2c, download, 16, 0m4.215s
c4.xlarge, us-west-2c, download, 16, 0m4.128s
c4.xlarge, us-west-2c, download, 16, 0m4.320s
c4.xlarge, us-west-2c, download, 16, 0m4.373s
c4.xlarge, us-west-2c, download, 32, 0m5.257s
c4.xlarge, us-west-2c, download, 32, 0m4.597s
c4.xlarge, us-west-2c, download, 32, 0m5.026s
c4.xlarge, us-west-2c, download, 32, 0m5.241s
c4.xlarge, us-west-2c, download, 32, 0m4.190s
c4.xlarge, us-west-2c, download, 32, 0m4.932s
c4.xlarge, us-west-2c, download, 64, 0m4.587s
c4.xlarge, us-west-2c, download, 64, 0m4.518s
c4.xlarge, us-west-2c, download, 64, 0m4.398s
c4.xlarge, us-west-2c, download, 64, 0m4.074s
c4.xlarge, us-west-2c, download, 64, 0m5.400s
c4.xlarge, us-west-2c, download, 64, 0m4.535s
c4.xlarge, us-west-2c, download, 128, 0m6.638s
c4.xlarge, us-west-2c, download, 128, 0m6.644s
c4.xlarge, us-west-2c, download, 128, 0m6.827s
c4.xlarge, us-west-2c, download, 128, 0m6.706s
c4.xlarge, us-west-2c, download, 128, 0m6.439s
c4.xlarge, us-west-2c, download, 128, 0m6.558s
c4.xlarge, us-west-2c, download, 256, 0m9.850s
c4.xlarge, us-west-2c, download, 256, 0m9.173s
c4.xlarge, us-west-2c, download, 256, 0m9.851s
c4.xlarge, us-west-2c, download, 256, 0m9.738s
c4.xlarge, us-west-2c, download, 256, 0m9.561s
c4.xlarge, us-west-2c, download, 256, 0m9.769s
c4.xlarge, us-west-2c, download, 512, 0m15.363s
c4.xlarge, us-west-2c, download, 512, 0m15.612s
c4.xlarge, us-west-2c, download, 512, 0m15.955s
c4.xlarge, us-west-2c, download, 512, 0m15.248s
c4.xlarge, us-west-2c, download, 512, 0m14.931s
c4.xlarge, us-west-2c, download, 512, 0m14.616s
c4.xlarge, us-west-2c, download, 1024, 0m32.797s
c4.xlarge, us-west-2c, download, 1024, 0m27.102s
c4.xlarge, us-west-2c, download, 1024, 0m26.055s
c4.xlarge, us-west-2c, download, 1024, 0m26.875s
c4.xlarge, us-west-2c, download, 1024, 0m27.403s
c4.xlarge, us-west-2c, download, 1024, 0m27.149s
c4.xlarge, us-west-2c, download, 2048, 1m11.888s
c4.xlarge, us-west-2c, download, 2048, 0m50.980s
c4.xlarge, us-west-2c, download, 2048, 0m50.393s
c4.xlarge, us-west-2c, download, 2048, 1m8.366s
c4.xlarge, us-west-2c, download, 2048, 0m50.517s
c4.xlarge, us-west-2c, download, 2048, 0m51.470s
c4.xlarge, us-west-2c, download, 4096, 1m39.154s
