m4.10xlarge, ap-northeast-1c, download, 4, 0m6.197s
m4.10xlarge, ap-northeast-1c, download, 8, 0m6.763s
m4.10xlarge, ap-northeast-1c, download, 8, 0m6.343s
m4.10xlarge, ap-northeast-1c, download, 8, 0m8.513s
m4.10xlarge, ap-northeast-1c, download, 8, 0m6.487s
m4.10xlarge, ap-northeast-1c, download, 8, 0m6.564s
m4.10xlarge, ap-northeast-1c, download, 8, 0m5.845s
m4.10xlarge, ap-northeast-1c, download, 16, 0m7.784s
m4.10xlarge, ap-northeast-1c, download, 16, 0m7.046s
m4.10xlarge, ap-northeast-1c, download, 16, 0m9.679s
m4.10xlarge, ap-northeast-1c, download, 16, 0m6.973s
m4.10xlarge, ap-northeast-1c, download, 16, 0m6.932s
m4.10xlarge, ap-northeast-1c, download, 16, 0m6.657s
m4.10xlarge, ap-northeast-1c, download, 32, 0m7.951s
m4.10xlarge, ap-northeast-1c, download, 32, 0m7.507s
m4.10xlarge, ap-northeast-1c, download, 32, 0m8.004s
m4.10xlarge, ap-northeast-1c, download, 32, 0m7.815s
m4.10xlarge, ap-northeast-1c, download, 32, 0m8.292s
m4.10xlarge, ap-northeast-1c, download, 32, 0m7.981s
m4.10xlarge, ap-northeast-1c, download, 64, 0m6.747s
m4.10xlarge, ap-northeast-1c, download, 64, 0m6.318s
m4.10xlarge, ap-northeast-1c, download, 64, 0m6.841s
m4.10xlarge, ap-northeast-1c, download, 64, 0m6.357s
m4.10xlarge, ap-northeast-1c, download, 64, 0m20.454s
m4.10xlarge, ap-northeast-1c, download, 64, 0m7.267s
m4.10xlarge, ap-northeast-1c, download, 128, 0m10.772s
m4.10xlarge, ap-northeast-1c, download, 128, 0m10.859s
m4.10xlarge, ap-northeast-1c, download, 128, 0m10.615s
m4.10xlarge, ap-northeast-1c, download, 128, 0m10.080s
m4.10xlarge, ap-northeast-1c, download, 128, 0m10.146s
m4.10xlarge, ap-northeast-1c, download, 128, 0m10.703s
m4.10xlarge, ap-northeast-1c, download, 256, 0m17.257s
m4.10xlarge, ap-northeast-1c, download, 256, 0m17.127s
m4.10xlarge, ap-northeast-1c, download, 256, 0m17.427s
m4.10xlarge, ap-northeast-1c, download, 256, 0m16.912s
m4.10xlarge, ap-northeast-1c, download, 256, 0m16.937s
m4.10xlarge, ap-northeast-1c, download, 256, 0m17.064s
m4.10xlarge, ap-northeast-1c, download, 512, 0m27.430s
m4.10xlarge, ap-northeast-1c, download, 512, 0m27.280s
m4.10xlarge, ap-northeast-1c, download, 512, 0m26.693s
m4.10xlarge, ap-northeast-1c, download, 512, 0m26.257s
m4.10xlarge, ap-northeast-1c, download, 512, 0m26.576s
m4.10xlarge, ap-northeast-1c, download, 512, 0m27.843s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m50.960s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m50.835s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m50.697s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m50.317s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m51.236s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m50.675s
m4.10xlarge, ap-northeast-1c, download, 2048, 1m36.808s
m4.10xlarge, ap-northeast-1c, download, 2048, 1m37.694s
m4.10xlarge, ap-northeast-1c, download, 2048, 2m5.328s
m4.10xlarge, ap-northeast-1c, download, 2048, 1m39.272s
m4.10xlarge, ap-northeast-1c, download, 2048, 1m40.549s
m4.10xlarge, ap-northeast-1c, download, 2048, 1m36.188s
m4.10xlarge, ap-northeast-1c, download, 4096, 3m1.212s
m4.10xlarge, ap-northeast-1c, download, 4096, 2m58.267s
m4.10xlarge, ap-northeast-1c, download, 4096, 3m0.218s
m4.10xlarge, ap-northeast-1c, download, 4096, 3m1.929s
m4.10xlarge, ap-northeast-1c, download, 4096, 3m7.074s
m4.10xlarge, ap-northeast-1c, download, 4096, 3m4.337s
m4.10xlarge, ap-northeast-1c, download, 8192, 4m54.897s
m4.10xlarge, ap-northeast-1c, download, 8192, 5m0.059s
m4.10xlarge, ap-northeast-1c, download, 8192, 4m53.631s
m4.10xlarge, ap-northeast-1c, download, 8192, 4m56.151s
m4.10xlarge, ap-northeast-1c, download, 8192, 4m55.084s
m4.10xlarge, ap-northeast-1c, download, 8192, 4m53.424s
