c4.8xlarge, eu-central-1a, download, 8, 0m3.962s
c4.8xlarge, eu-central-1a, download, 8, 0m4.217s
c4.8xlarge, eu-central-1a, download, 8, 0m4.306s
c4.8xlarge, eu-central-1a, download, 8, 0m4.308s
c4.8xlarge, eu-central-1a, download, 16, 0m4.934s
c4.8xlarge, eu-central-1a, download, 16, 0m4.558s
c4.8xlarge, eu-central-1a, download, 16, 0m4.529s
c4.8xlarge, eu-central-1a, download, 16, 0m4.522s
c4.8xlarge, eu-central-1a, download, 16, 0m5.854s
c4.8xlarge, eu-central-1a, download, 16, 0m35.752s
c4.8xlarge, eu-central-1a, download, 32, 0m5.261s
c4.8xlarge, eu-central-1a, download, 32, 0m5.269s
c4.8xlarge, eu-central-1a, download, 32, 0m6.435s
c4.8xlarge, eu-central-1a, download, 32, 0m4.990s
c4.8xlarge, eu-central-1a, download, 32, 0m4.954s
c4.8xlarge, eu-central-1a, download, 32, 0m5.161s
c4.8xlarge, eu-central-1a, download, 64, 0m19.250s
c4.8xlarge, eu-central-1a, download, 64, 0m4.548s
c4.8xlarge, eu-central-1a, download, 64, 0m5.693s
c4.8xlarge, eu-central-1a, download, 64, 0m5.452s
c4.8xlarge, eu-central-1a, download, 64, 0m4.539s
c4.8xlarge, eu-central-1a, download, 64, 0m4.560s
c4.8xlarge, eu-central-1a, download, 128, 0m7.544s
c4.8xlarge, eu-central-1a, download, 128, 0m7.494s
c4.8xlarge, eu-central-1a, download, 128, 0m6.764s
c4.8xlarge, eu-central-1a, download, 128, 0m6.709s
c4.8xlarge, eu-central-1a, download, 128, 0m7.459s
c4.8xlarge, eu-central-1a, download, 128, 0m6.551s
c4.8xlarge, eu-central-1a, download, 256, 0m10.519s
c4.8xlarge, eu-central-1a, download, 256, 0m10.762s
c4.8xlarge, eu-central-1a, download, 256, 0m10.665s
c4.8xlarge, eu-central-1a, download, 256, 0m10.982s
c4.8xlarge, eu-central-1a, download, 256, 0m10.290s
c4.8xlarge, eu-central-1a, download, 256, 0m10.568s
c4.8xlarge, eu-central-1a, download, 512, 0m17.194s
c4.8xlarge, eu-central-1a, download, 512, 0m17.254s
c4.8xlarge, eu-central-1a, download, 512, 0m17.199s
c4.8xlarge, eu-central-1a, download, 512, 0m16.532s
c4.8xlarge, eu-central-1a, download, 512, 0m16.957s
c4.8xlarge, eu-central-1a, download, 512, 0m16.497s
c4.8xlarge, eu-central-1a, download, 1024, 0m29.759s
c4.8xlarge, eu-central-1a, download, 1024, 0m29.650s
c4.8xlarge, eu-central-1a, download, 1024, 0m29.135s
c4.8xlarge, eu-central-1a, download, 1024, 0m28.883s
c4.8xlarge, eu-central-1a, download, 1024, 0m29.100s
c4.8xlarge, eu-central-1a, download, 1024, 0m29.240s
c4.8xlarge, eu-central-1a, download, 2048, 0m56.856s
c4.8xlarge, eu-central-1a, download, 2048, 0m56.471s
c4.8xlarge, eu-central-1a, download, 2048, 0m55.918s
c4.8xlarge, eu-central-1a, download, 2048, 0m56.009s
c4.8xlarge, eu-central-1a, download, 2048, 0m56.309s
c4.8xlarge, eu-central-1a, download, 2048, 0m55.746s
c4.8xlarge, eu-central-1a, download, 4096, 2m23.004s
c4.8xlarge, eu-central-1a, download, 4096, 1m48.551s
c4.8xlarge, eu-central-1a, download, 4096, 1m48.493s
c4.8xlarge, eu-central-1a, download, 4096, 1m47.366s
c4.8xlarge, eu-central-1a, download, 4096, 1m49.395s
c4.8xlarge, eu-central-1a, download, 4096, 1m47.956s
c4.8xlarge, eu-central-1a, download, 8192, 3m3.623s
c4.8xlarge, eu-central-1a, download, 8192, 4m37.307s
c4.8xlarge, eu-central-1a, download, 8192, 3m3.835s
c4.8xlarge, eu-central-1a, download, 8192, 3m2.957s
c4.8xlarge, eu-central-1a, download, 8192, 3m2.621s
c4.8xlarge, eu-central-1a, download, 8192, 3m3.597s
