m4.xlarge, ap-northeast-1c, download, 4, 0m4.399s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.653s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.867s
m4.xlarge, ap-northeast-1c, download, 8, 0m5.844s
m4.xlarge, ap-northeast-1c, download, 8, 0m6.062s
m4.xlarge, ap-northeast-1c, download, 8, 0m5.699s
m4.xlarge, ap-northeast-1c, download, 8, 0m6.151s
m4.xlarge, ap-northeast-1c, download, 8, 0m5.713s
m4.xlarge, ap-northeast-1c, download, 8, 0m6.493s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.028s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.333s
m4.xlarge, ap-northeast-1c, download, 16, 0m6.951s
m4.xlarge, ap-northeast-1c, download, 16, 0m6.493s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.022s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.268s
m4.xlarge, ap-northeast-1c, download, 32, 0m7.934s
m4.xlarge, ap-northeast-1c, download, 32, 0m8.187s
m4.xlarge, ap-northeast-1c, download, 32, 0m8.848s
m4.xlarge, ap-northeast-1c, download, 32, 0m9.718s
m4.xlarge, ap-northeast-1c, download, 32, 0m8.231s
m4.xlarge, ap-northeast-1c, download, 32, 0m8.360s
m4.xlarge, ap-northeast-1c, download, 64, 0m8.639s
m4.xlarge, ap-northeast-1c, download, 64, 0m7.660s
m4.xlarge, ap-northeast-1c, download, 64, 0m6.669s
m4.xlarge, ap-northeast-1c, download, 64, 0m9.342s
m4.xlarge, ap-northeast-1c, download, 64, 0m8.732s
m4.xlarge, ap-northeast-1c, download, 64, 0m7.035s
m4.xlarge, ap-northeast-1c, download, 128, 0m10.705s
m4.xlarge, ap-northeast-1c, download, 128, 0m10.959s
m4.xlarge, ap-northeast-1c, download, 128, 0m10.770s
m4.xlarge, ap-northeast-1c, download, 128, 0m10.592s
m4.xlarge, ap-northeast-1c, download, 128, 0m11.900s
m4.xlarge, ap-northeast-1c, download, 128, 0m10.852s
m4.xlarge, ap-northeast-1c, download, 256, 0m17.973s
m4.xlarge, ap-northeast-1c, download, 256, 0m17.211s
m4.xlarge, ap-northeast-1c, download, 256, 0m17.393s
m4.xlarge, ap-northeast-1c, download, 256, 0m16.730s
m4.xlarge, ap-northeast-1c, download, 256, 0m17.327s
